cod_cli;razao;endereco;uf;Cidade;Bairro;CEP;Telefone;cnpj;Insc;cod_canal;hierarquia
923645;Sangaletti Sangaletti & Cia Ltda;Av Otavio De Souza Cruz 441;MT;Sorriso;Centro;78890-000;66 35458500;26777276000506;132081610;5534707;L6 BRNC BK CO Agil AS 5
923646;Sangaletti Sangaletti & Cia Ltda;Av Andre Antonio Maggi 5500;MT;Sinop;Jd Das Violetas;78550-001;66 35116500;26777276000689;132089610;5534707;L6 BRNC BK CO Agil AS 5
925018;Supermercado Miura Ltda;R Porto Carriro 50;MT;Caceres;Centro;78200-000;65 32231147;33695388000141;130947326;5534707;L6 BRNC BK CO Agil AS 5
925577;Comercial Alim Diamante Azul Ltda;Av Mato Grosso 825;MT;Sao Jose Do Rio Claro;Centro;78435-000;66 33861776;37479359000101;131451154;5534707;L6 BRNC BK CO Agil AS 5
928097;Mercantil Astro De Alimentos Ltda;Av Ludovico Da Riva Neto 1950;MT;Alta Floresta;Centro;78580-000;66 35521314;1329200000155;130249106;5534714;L6 BRNC BK CO Agil KA
930307;Maria Beatriz Haeffner Albert ME;R Portugal SN, Q81L5 S RO;MT;Cuiaba;Santa Rosa;78065-450;65 6264044;70432562000190;131469118;5534716;L6 BRNC BK CO Agil Trd e Dms
937745;Fenix Comercio De Alimentos Ltda;Pca Tamoio 98;MT;Jaciara;Centro;78820-000;66 34611122;1835680000126;131747029;5534707;L6 BRNC BK CO Agil AS 5
938152;Dalmolin Sinon e Cia Ltda;R Benedito Moreira SN;MT;Diamantino;Centro;78400-000;65 33610660;2046011000138;131697072;5534707;L6 BRNC BK CO Agil AS 5
941170;Paloma Casonatto Pinto;Av Rio Grande Do Sul 392, S Sl 2;MT;Lucas Do Rio Verde;Centro;78455-000;65 99958310;3247636000120;131887297;5534708;L6 BRNC BK CO Agil Trd e Cnv
941997;Juba Supermercados Ltda;R Marechal Deodoro 605, Esq Pde Ca;MT;Caceres;Centro;78200-000;65 999437355;3550647000428;130347795;5534707;L6 BRNC BK CO Agil AS 5
941998;Juba Supermercados Ltda;Av 23 de Maio Esq Rua Carlos L 1055;MT;Araputanga;Centro;78260-000;65 32234200;3550647000690;131223348;5534707;L6 BRNC BK CO Agil AS 5
941999;Juba Supermercados Ltda;Av Municipal 1292;MT;Pontes E Lacerda;Centro;78250-000;65 32234200;3550647000851;132094274;5534707;L6 BRNC BK CO Agil AS 5
942195;J S Pansiere EPP;Rua Benedito Moreira da Silva SN;MT;Diamantino;Centro;78400-000;65 33361580;3615541000112;131920588;5534707;L6 BRNC BK CO Agil AS 5
942638;Martins & Martins Ltda;R Das Primaveras 3300;MT;Sinop;Centro;78550-001;66 35114000;3790896000148;130944629;5534707;L6 BRNC BK CO Agil AS 5
942639;Martins & Martins Ltda;Av Dos Tarumas 801;MT;Sinop;Setor Residencial Sul;78550-001;66 39051424;3790896000229;131803530;5534707;L6 BRNC BK CO Agil AS 5
942640;Martins E Martins Ltda;Av Das Itaubas 4001;MT;Sinop;Centro;78550-001;66 35111000;3790896000300;131833588;5534707;L6 BRNC BK CO Agil AS 5
942641;Coml Carapa de Secos Molhados Ltda;Av Marechal Rondon 1198, Setor Lest;MT;Colider;Centro;78500-000;66 35416500;3790904000156;130944610;5534707;L6 BRNC BK CO Agil AS 5
953979;Sorriso Supermercados Ltda;Av Natalino Joao Brescansin 220;MT;Sorriso;Centro;78890-000;66 35457300;14953277000143;131161164;5534707;L6 BRNC BK CO Agil AS 5
1022895;Deville Hoteis E Turismo Ltda;Av Isaac Povoas 1000;MT;Cuiaba;Goiabeiras;78005-000;65 33193015;81071623000580;133085791;5534716;L6 BRNC BK CO Agil Trd e Dms
1038518;Coml Carapa de Secos Molhados Ltda;Av Isabel Martins S 269, Setor Nort;MT;Colider;Nossa Sra da Guia;78500-000;66 35415600;3790904000318;133095614;5534707;L6 BRNC BK CO Agil AS 5
1038573;Supermercado Paulista Ltda EPP;R Manoel Correa de Al 60, Qd 6 Lt 4;MT;Varzea Grande;Cristo Rei;78120-000;65 36535954;7114891000156;132891050;5534707;L6 BRNC BK CO Agil AS 5
1038836;Superm Serve Mais Ltda EPP;Av Fernando C da Costa 4530;MT;Cuiaba;Coxipo;78098-000;65 36613680;7373832000100;133026760;5534707;L6 BRNC BK CO Agil AS 5
1063454;Sc Com De Produtos Alim Ltda ME;R Florinda Negrao 214, Qd 9 Lt 19;MT;Cuiaba;Altos Da Boa Vista;78048-225;65 36213935;7368106000191;133065499;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
1067652;Claudimar Demarco ME;Av General Vale 378;MT;Cuiaba;Bandeirantes;78005-000;65 30275586;5127272000170;132102196;5534716;L6 BRNC BK CO Agil Trd e Dms
1112922;Wm Com Generos De Alimenticios Ltda;R Iara SN, Qd 32 L 1;MT;Varzea Grande;Jardim Gloria;78120-000;65 36841409;26525477000184;131227190;5534707;L6 BRNC BK CO Agil AS 5
1142902;Rest Grand Beer Ltda ME;Av Marechal Dutra 1251;MT;Rondonopolis;Centro;78700-110;66 34216718;1373098000195;132758547;5534716;L6 BRNC BK CO Agil Trd e Dms
1144025;R H Distribuidora de Alimentos Ltda;Rua Presidente Castelo Branco 1098;MT;Rondonopolis;Vila Mariana;78730-680;66 34252934;3421067000198;131903179;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
1144147;Sueli Terezinha Machado ME;Rua Seringueira 129;MT;Rondonopolis;Cophalis;78705-000;66 34222750;15948649000106;130543500;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
1144960;Goulart e Rabelo Ltda ME;Av Ponce de Arruda 2568;MT;Rondonopolis;Centro;78720-800;66 34234422;24699001000134;130569143;5534716;L6 BRNC BK CO Agil Trd e Dms
1145122;Nates & Aguiar Ltda;Av Barao Do Rio Branco 1072;MT;Rondonopolis;Jardim Residencial Mathias Neves;78716-442;66 34225174;3416208000184;131902229;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
1145325;Unimed Norte MT Coop Trab Medico;Av dos Jacarandas 3219, Sala;MT;Sinop;Setor Comercial;78550-246;66 35117110;73967085000317;132090171;5534712;L6 BRNC BK CO Agil Far B
1150125;Walmir Alves Aguiar;Rua Rio Branco 4053;MT;Rondonopolis;Monte Libano;78710-265;66 99849040;534162000100;131613847;5534707;L6 BRNC BK CO Agil AS 5
1156630;Supermercado Guanabara Ltda;Av Jose Agostinho Neto 849;MT;Rondonopolis;Jardim Serra Dourada;78705-000;66 34262059;3416214000131;131922432;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
1211490;Cirilio Supermercado Ltda EPP;Av Fernando Correa da Co 715, Salao;MT;Pedra Preta;Centro;78795-000;66 99243086;5467978000181;132138921;5534714;L6 BRNC BK CO Agil KA
1302497;Vale Formoso Com Alim Ltda;Av Ministro Joao Al 725, Qd28Lt9e10;MT;Barra do Garcas;Centro;78600-000;66 34011600;7718845000166;133124622;5534707;L6 BRNC BK CO Agil AS 5
1319249;Belo Brasil Supermercado Ltda EPP;Av Brasilia 319;MT;Campo Verde;Centro;78840-000;66 34191405;2957189000130;131860151;5534707;L6 BRNC BK CO Agil AS 5
1338841;Maria de L O Goncalves EPP;Rua Luiz Carlos F dos San 889, Sala;MT;Rondonopolis;Jardim Tropical;78715-000;66 34263567;2815503000140;131850369;5534707;L6 BRNC BK CO Agil AS 5
1367015;V N Dos Santos & Cia Ltda EPP;Rua Pernambuco 806;MT;Pontes E Lacerda;Centro;78250-000;65 32661123;5135007000134;132100258;5534707;L6 BRNC BK CO Agil AS 5
1400626;Favorito Supermercado Ltda;Av Marechal Rondon 1738;MT;Pontes E Lacerda;Centro;78250-000;65 32661561;954305000132;130211214;5534707;L6 BRNC BK CO Agil AS 5
1855551;Sg Comercio de Alimentos Ltda ME;Avenida Dom Aquino 01;MT;Primavera do Leste;Centro Leste;78850-000;65 92511734;7761407000180;133133613;5534707;L6 BRNC BK CO Agil AS 5
1974581;Distribuid de Doces Sao Joao Ltda;Rua Ari Paes Barreto 365;MT;Varzea Grande;Manga;78120-000;65 36854349;36877173000210;132366444;5534710;L6 BRNC BK CO Agil Atc
2106166;N Bevilacqua Junior EIRELI;Av Gabriel Ferreira 357, Qd5 Lt 5a7;MT;Barra do Garcas;Vl Manoel Carmerino;78600-000;66 34011122;5354945000125;132138956;5534713;L6 BRNC BK CO Agil Atj
2589895;Martins & Martins Ltda;R Alberto Baranjak SN, Loja 7;MT;Sinop;Jardim Santa Monica;78557-746;66 35174500;3790896000652;133540103;5534707;L6 BRNC BK CO Agil AS 5
2749639;Pasqualotto & Pasqualotto Ltda;Av Gabriel Muller SN, Qd09 RT 6E;MT;Juina;Modulo 01;78320-000;66 35667200;10478007000177;133639398;5534713;L6 BRNC BK CO Agil Atj
2800371;Nova Era Comercial Alimentos Ltda;Rua Das Acacias 3988;MT;Comodoro;Centro;78310-000;65 99637013;26590166000107;131247158;5534707;L6 BRNC BK CO Agil AS 5
2802281;Coml Novo Estado Generos Alim Ltda;Avenida Prefeito Valdir Masuti 3253;MT;Comodoro;Centro;78310-000;65 99637050;37478591000117;131442376;5534707;L6 BRNC BK CO Agil AS 5
2846104;Mercado Kochemborguer EIRELI EPP;Rua Paulo Pan 611, Qd 43Lt 24;MT;Sinop;Boa Esperanca;78550-001;66 35323725;2968785000116;131862650;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2846192;J C Andrade Souza CIA Ltda EPP;Rua Alves de Oliveira 53;MT;Varzea Grande;Manga;78120-000;65 36854137;2355803000194;131799673;5534707;L6 BRNC BK CO Agil AS 5
2846445;E Dillmann & Cia Ltda EPP;Av Rio Arinos 798, W;MT;Juara;Centro;78575-000;66 35561452;4671902000100;132041111;5534707;L6 BRNC BK CO Agil AS 5
2846624;Gomes da Silva & Gomes Santana Ltda;Rua Dom Jose Selva 176;MT;Alto Garcas;Centro;78770-000;66 34711743;5300922000138;132116324;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2846813;Longen & Longen Ltda ME;Av Principal SN;MT;Cotriguacu;Agronila dos Pioneilo;78330-000;66 35871065;4986882000167;132077850;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2847223;M A V Miyamoto EPP;Av Brasil 02;MT;Poxoreu;Parque Rodoviario;78800-000;66 34361126;1334449000159;131699377;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2847651;Restaurante & Lanchonete 120 Ltda;Av Rod Br 120 Cuiaba Caceres SN;MT;Caceres;Rodovia;78200-000;65 99723060;1298710000102;130273201;5534716;L6 BRNC BK CO Agil Trd e Dms
2847928;Geller Auto Posto;Av Mato Grosso 999;MT;Lucas do Rio Verde;Cidade Nova;78455-000;66 35491989;3525153000140;131940139;5534708;L6 BRNC BK CO Agil Trd e Cnv
2848015;I F de Carvalho Oliveira;Rua 7 de Setembro SN;MT;Colniza;Centro;78335-000;66 35711169;4291950000173;131998048;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2848033;Antonio Candido;Rua do Cedro SN;MT;Caceres;Caramujo;78200-000;65 32771230;5409247000180;132128136;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2848420;Edmilson Leite de Moraes ME;Av Brasil 779;MT;Paranatinga;Uniao;78870-000;66 35731226;2351111000178;131797735;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2848487;Bege Com Prod Supermercado;Av Brasil 489;MT;Vila Rica;Centro;78645-000;66 35541250;236070000143;131590170;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2848488;Geovane Stival Lopes EIRELI;Rua 01 197;MT;Vila Rica;Setor Sul;78645-000;66 35541293;4570090000107;132030713;5534707;L6 BRNC BK CO Agil AS 5
2848520;Aguiar Pontes & Pont Sup Serve Mais;Av Centro Oeste 99, Sala;MT;Confresa;Centro;78652-000;66 35641135;3791102000160;131941208;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2848912;J Vieira Nobre;Av Londrina SN;MT;Juina;Nobres;78320-000;66 35663246;115331000177;131549073;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2849598;Superhideal Supermercado Ltda;Rua Juliao Francisco de Brito 456;MT;Vila Bela da Santissima Trindade;Centro;78245-000;65 32664024;4642046000165;132042185;5534707;L6 BRNC BK CO Agil AS 5
2850066;Supermercado Santa Rita Ltda;Av das Araras SN;MT;Santa Rita do Trivelato;Centro;78453-000;65 35296208;5676800000140;132237377;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2850317;Supermercado Real Ltda;Av Curimba 1160;MT;Sapezal;Centro;78365-000;65 33832864;5958736000190;132362570;5534707;L6 BRNC BK CO Agil AS 5
2850419;Supermercado Romancini Ltda;Avenida Mato Grosso 1696;MT;Lucas do Rio Verde;Alvorada;78455-000;65 35493480;4127280000154;131976451;5534707;L6 BRNC BK CO Agil AS 5
2851013;Lanch Rest & Borrach Pensao Seca;Av Rod Br 364 SN, Km 300;MT;Jaciara;Rod Br 364;78820-000;66 34637060;24696791000102;130556262;5534716;L6 BRNC BK CO Agil Trd e Dms
2851522;O M de Souza ME;Rua Euclides da Cunha SN, Qdr 15;MT;Poxoreu;Santa Luzia;78800-000;66 34361881;5931534000155;132372096;5534716;L6 BRNC BK CO Agil Trd e Dms
2851644;Tabaldi & Tabaldi Ltda EPP;Av Loderites da Rosa Correa 282;MT;Juina;Modulo 3;78320-000;66 35666088;5158634000190;132102501;5534707;L6 BRNC BK CO Agil AS 5
2852449;Amorim & Amorim Ltda;Av Dom Orlando Chave 06, Qd4 AnexoA;MT;Varzea Grande;Cohab Dom Bosco;78120-000;65 36857352;5994885000105;132430436;5534716;L6 BRNC BK CO Agil Trd e Dms
2853082;M J Lopes Superm ME;Rua Presidente Getulio Vargas 304;MT;Sao Jose dos Quatro Marcos;Zeferino I;78285-000;65 32512047;4992536000191;132079585;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2853482;Neuza Terezinha Nascimento ME;Rua Terezinha 755;MT;Campo Verde;Centro;78840-000;66 34191601;5870699000164;132373777;5534716;L6 BRNC BK CO Agil Trd e Dms
2853483;Adolfo Fidesk ME;Av Sen Attilio Fontana SN;MT;Campo Verde;Jd Campo Verde;78840-000;66 34192344;3992775000189;131960806;5534716;L6 BRNC BK CO Agil Trd e Dms
2853897;Severino da Silva & Cia Ltda;Rua 22 1131;MT;Tangara da Serra;Vila Sta Terezinha;78300-000;65 33264265;5942155000160;132475553;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2853907;L Rodrigues Cardoso ME;R Julio Martinez Benevide 621, Sl 1;MT;Tangara Da Serra;Centro;78300-000;65 33262691;24978207000101;130681270;5534716;L6 BRNC BK CO Agil Trd e Dms
2853918;Lideranca Supermercado Ltda ME;Av Mato Grosso SN, Predio;MT;Apiacas;Centro;78595-000;66 35931758;313055000151;132248697;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2853937;Mercado Cotriguacu Ltda;Av Robson Silva 358;MT;Alta Floresta;Cidade Alta;78580-000;66 35216703;4490588000160;132025116;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2854061;J C de Oliveira;Rua das Cervejeiras SN;MT;Carlinda;Centro;78587-000;66 35251169;70426044000163;131462148;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2854062;Dilimas Com Gen Alimenticio Ltda ME;Av Ayrton Senna SN;MT;Novo Mundo;Centro;78528-000;66 35396078;36931533000134;131318640;5534716;L6 BRNC BK CO Agil Trd e Dms
2854068;Antonio Dalmir Pereira Pais ME;Rua Bahia 141;MT;Terra Nova do Norte;Centro;78505-000;66 35341609;106143000182;131549839;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2854085;Santos Fenali Conti ME;Rua Campo Grande 1112;MT;Brasnorte;Nosso Lar;78350-000;66 35922006;5962752000157;132452405;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2854087;Auto Posto Brasnorte Ltda;Av General Osorio SN;MT;Brasnorte;Centro;78350-000;66 35921492;4664226000148;132043394;5534708;L6 BRNC BK CO Agil Trd e Cnv
2854262;Joao T Schmidt Panificadora ME;Rua Orlando Jose Da Si 278, Sala 02;MT;Juruena;Centro;78340-000;66 35531841;5808786000191;132318725;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2854263;Maria de L T Alves ME;R 1 453, Qd8 Lt13;MT;Sinop;Residencial Montreal Park;78558-141;66 35711251;5517684000117;132162598;5534716;L6 BRNC BK CO Agil Trd e Dms
2854304;Supermercado Ferreira Ltda;Rua Jpi SN;MT;Aripuana;Jardim Planalto;78325-000;66 35651714;2454814000121;132470144;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2854546;Cafe no Ponto Doceria Ltda ME;Av Natalino Joao Brescansin 1979;MT;Sorriso;Centro;78890-000;66 35450997;6158922000108;132470020;5534716;L6 BRNC BK CO Agil Trd e Dms
2854705;El Elion Com De Combustiveis Ltda;Av Rubens de Mendonca 2555;MT;Cuiaba;Bosque da Saude;78050-000;65 36342122;5696453000118;132503670;5534708;L6 BRNC BK CO Agil Trd e Cnv
2855641;Jacob Pisaia Junior Cia Ltda;Av Amos Bernardino Zan 463, Letra N;MT;Nova Maringa;Centro;78445-000;66 35371196;5528204000113;132159112;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2855790;Maravilha Com de Alimentos Ltda ME;Av Maravilha 563;MT;Feliz Natal;Centro;78885-000;66 35851101;4742677000156;132050641;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2856419;Vanderlei dos Santos Vicente ME;Av Gilio Rezieri 631;MT;Castanheira;Centro;78345-000;66 35811147;6189600000126;132584522;5534707;L6 BRNC BK CO Agil AS 5
2856655;Sisenando Guedes Silva;Rua Alcides Lazaretti 65;MT;Primavera do Leste;Sao Cristovao;78850-000;66 34981042;5910499000198;132600994;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2856941;F C Locks Eireli;R Missionario Paulo Leivas Macal 98;MT;Aripuana;Parque Industriario;78325-000;66 35651137;4742070000176;132053640;5534707;L6 BRNC BK CO Agil AS 5
2857815;Joao Lopes de Oliveira;Rua Joao Calixto do Santo SN;MT;Nortelandia;Bandeirantes;78430-000;65 33461336;5910647000174;132312026;5534716;L6 BRNC BK CO Agil Trd e Dms
2857817;Lucilia Lourdes Oliveira Alves ME;Av Getulio Linus de Souza SN;MT;Nortelandia;Da Ponte;78430-000;65 33431248;36877876000168;131355449;5534716;L6 BRNC BK CO Agil Trd e Dms
2858077;Cora Mercado Ltda;Rua P 09, Quadra 15;MT;Claudia;Habitar Brasil;78540-000;66 35461925;5873611000168;132305151;5534707;L6 BRNC BK CO Agil AS 5
2858208;H 7 Supermercado Ltda EPP;Rua das Laranjeiras 866;MT;Guaranta do Norte;Cristo Rei;78520-000;66 35552131;4824073000159;132059053;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2860237;Francisca Duarte B Ramos Minimerc;Av Mal Rondon 1178;MT;Araputanga;Centro;78260-000;65 32611510;7077642000138;132806851;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2860482;Goncalves Oliveira & Cia Ltda;Av Brasil 2141;MT;Paranatinga;Centro;78870-000;66 35731952;6318993000120;132652331;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2860743;Alvaro Jose Schum;Av Amos B Zancket SN;MT;Nova Maringa;Centro;78445-000;66 35371513;5928757000163;132316676;5534716;L6 BRNC BK CO Agil Trd e Dms
2861019;L Oliveira da Silva & Cia Ltda ME;Av Mato Grosso 384;MT;Alta Floresta;Setor Idustrial;78580-000;66 35213008;5306405000176;132909227;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2861073;A Aparecido de Lima & Cia Ltda;Rua J P 1 733, Lote 15 Qu;MT;Aripuana;Jardim Planalto;78325-000;66 35652257;6149932000187;132565552;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2861856;Metropolitano Com Comb & Deri Ltda;Av Fernando Correa Costa 2350;MT;Cuiaba;Jardim Petropolis;78070-000;65 36274881;7094917000141;132878399;5534708;L6 BRNC BK CO Agil Trd e Cnv
2862081;Supermercado Quatro Amigos Ltda;Rua do Cara 770;MT;Sapezal;Centro;78365-000;65 33831622;7272088000140;132950529;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2862083;Pim Pao Alimentos Ltda;Av Natalino Joao Brescasin 1783;MT;Sorriso;Centro;78890-000;66 35443066;6158041000197;132476339;5534716;L6 BRNC BK CO Agil Trd e Dms
2862087;Bello Pane Panificadora Ltda;Rua Mato Grosso 2668;MT;Sorriso;Centro;78890-000;66 35442941;2579349000155;131818376;5534716;L6 BRNC BK CO Agil Trd e Dms
2862091;S R Parreira ME;Av Marechal Rondon 1049;MT;Pontes E Lacerda;Centro;78250-000;65 32661066;4084205000153;131973070;5534716;L6 BRNC BK CO Agil Trd e Dms
2862102;Superm Super Ponto Bom Retiro Ltda;Av Carlos Hugueney 241;MT;Alto Araguaia;Centro;78780-000;66 34812575;7268382000188;132947757;5534707;L6 BRNC BK CO Agil AS 5
2862122;Supermercado Birigui Ltda;Rua Santa Catarina 1118;MT;Sao Jose do Rio Claro;Centro;78435-000;65 33862274;5064467000119;132089017;5534706;L6 BRNC BK CO Agil AS 3 4 Ck
2863490;V A Com Prods Alimenticios Ltda ME;R Benedito Camargo 534;MT;Cuiaba;Jd Leblon;78005-000;65 36880371;5902015000320;132489783;5534707;L6 BRNC BK CO Agil AS 5
2865058;R P Otenio Mercado ME;Av 23 de Maio 535;MT;Araputanga;Centro;78260-000;65 32611156;7225561000138;132948311;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2865372;Paulo Henrique dos Santos ME;Rua das Carmelias 554;MT;Caceres;Vila Nova;78200-000;65 32221317;6335130000161;132625636;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2866425;L V Schiefelbein & Cia Ltda;R Passo Fundo 268, S;MT;Lucas do Rio Verde;Pioneiro;78455-000;65 35492662;5056589000163;132089866;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2867879;Auto Posto Favett;Avenida Maua 230S;MT;Tangara da Serra;Vila Alta;78300-000;65 33263636;5666280000195;132414775;5534708;L6 BRNC BK CO Agil Trd e Cnv
2868451;J Martins do Nascimento;Av Minas Gerais 1350NW;MT;Campo Novo do Parecis;Jardim das Palmeiras;78360-000;65 33824176;7527247000100;133074749;5534707;L6 BRNC BK CO Agil AS 5
2869836;Isolde Dalmolin EPP;Rua Castanheira SN, Quadra A;MT;Diamantino;Novo Diamantino;78400-000;65 33371254;7092214000184;132852039;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2870008;A V Flores;Rua Pedro Pedrossian SN;MT;Nova Olimpia;Santa Rosa;78370-000;65 33321386;2756905000111;131839470;5534705;L6 BRNC BK CO Agil AS 1 2 Ck
2870158;Distribuidora Alimento S R Ltda EPP;Av Universitaria 861, W;MT;Lucas do Rio Verde;Parque das Emas;78455-000;65 35491334;6332188000151;132627221;5534707;L6 BRNC BK CO Agil AS 5
2870617;A A Nervis ME;Rua Parana 599, Ne;MT;Campo Novo do Parecis;Centro;78360-000;65 33822146;76958000166;131537270;5534710;L6 BRNC BK CO Agil Atc
2871447;Alcimar Comercio Embalagens Ltda;Rua Paranatinga 193;MT;Primavera do Leste;Centro;78850-000;66 34984567;3977715000197;131959387;5534716;L6 BRNC BK CO Agil Trd e Dms
2872209;Ailton Ferreira da Silva ME;Rua Goiania 2159;MT;Rondonopolis;Parque Residencial Buriti;78715-020;66 34263618;93866000194;131842803;5534716;L6 BRNC BK CO Agil Trd e Dms
